X,Y,Z,IDS,KRIG,90-71,90-
4500,5200,3100,0.73,0.77,0.514,0.423331
4550,5200,3100,0.95,0.92,0.737,0.611572
4600,5200,3100,0.78,0.77,0.552,0.556877
4650,5200,3100,0.21,0.23,0.241,0.365562
4700,5200,3100,0.09,0.1,0.116,0.239778
4750,5200,3100,0.08,0.09,0.064,0.149116
4400,5250,3100,0.35,0.32,0.387,0.27384
4450,5250,3100,0.83,0.92,0.481,0.328949
4500,5250,3100,0.91,0.9,0.554,0.439102
4550,5250,3100,1,0.99,0.812,0.709627
4600,5250,3100,0.87,0.83,0.720,0.727403
4650,5250,3100,0.11,0.12,0.320,0.483398
4700,5250,3100,0.1,0.11,0.156,0.308883
4400,5300,3100,0.26,0.3,0.361,0.253449
4450,5300,3100,0.47,0.58,0.450,0.305556
4500,5300,3100,0.93,0.89,0.572,0.447052
4550,5300,3100,1.14,1.01,0.861,0.792191
4600,5300,3100,1.09,1.03,1.019,0.936368
4650,5300,3100,0.17,0.35,0.424,0.621362
4700,5300,3100,0.11,0.11,0.212,0.365236
4350,5350,3100,0.2,0.23,0.254,0.192723
4400,5350,3100,0.15,0.17,0.331,0.234416
4450,5350,3100,0.21,0.29,0.428,0.287902
4500,5350,3100,0.51,0.63,0.552,0.455244
4550,5350,3100,1.11,1.09,0.846,0.819759
4600,5350,3100,1.57,1.44,1.369,1.149252
4650,5350,3100,0.75,0.98,0.568,0.729328
4350,5400,3100,0.19,0.17,0.231,0.175335
4400,5400,3100,0.16,0.17,0.303,0.218271
4450,5400,3100,0.15,0.26,0.411,0.272043
4500,5400,3100,0.33,0.41,0.542,0.463586
4550,5400,3100,0.83,1.01,0.731,0.83172
4600,5400,3100,1.36,1.36,1.607,1.247003
4650,5400,3100,0.46,0.66,0.752,0.779949
4350,5450,3100,0.26,0.22,0.210,0.158917
4400,5450,3100,0.17,0.21,0.283,0.199769
4450,5450,3100,0.17,0.18,0.387,0.260493
4500,5450,3100,0.28,0.31,0.521,0.469461
4550,5450,3100,0.79,1.31,0.636,0.823849
4600,5450,3100,2.6,2.41,1.408,1.093217
4650,5450,3100,0.81,0.8,0.898,0.773358
4350,5500,3100,0.27,0.31,0.196,0.144101
4400,5500,3100,0.29,0.29,0.266,0.181459
4450,5500,3100,0.45,0.39,0.362,0.25237
4500,5500,3100,0.33,0.23,0.481,0.450611
4550,5500,3100,0.42,0.43,0.571,0.699322
4600,5500,3100,1.18,1.25,1.075,0.902394
4350,5550,3100,0.33,0.32,0.181,0.12851
4400,5550,3100,0.39,0.33,0.246,0.159527
4450,5550,3100,0.47,0.43,0.329,0.233006
4500,5550,3100,0.34,0.26,0.438,0.381725
4550,5550,3100,0.2,0.17,0.484,0.549763
4600,5550,3100,0.71,1.32,0.615,0.699145
4400,5600,3100,0.34,0.21,0.226,0.135889
4450,5600,3100,0.33,0.28,0.298,0.201398
4500,5600,3100,0.11,0.18,0.390,0.291147
4750,4850,3075,0.08,0.09,0.036,0.043765
4800,4850,3075,0.07,0.07,0.022,0.027398
4400,4900,3075,0.56,0.54,0.483,0.509938
4450,4900,3075,0.55,0.52,0.426,0.478335
4500,4900,3075,0.59,0.5,0.384,0.432438
4550,4900,3075,0.58,0.53,0.308,0.350505
4600,4900,3075,0.22,0.38,0.198,0.227521
4650,4900,3075,0.13,0.16,0.124,0.139769
4700,4900,3075,0.11,0.11,0.074,0.088147
4750,4900,3075,0.06,0.07,0.044,0.055296
4800,4900,3075,0.06,0.08,0.026,0.035095
4400,4950,3075,0.54,0.54,0.536,0.534324
4450,4950,3075,0.49,0.5,0.487,0.50964
4500,4950,3075,0.47,0.45,0.447,0.472481
4550,4950,3075,0.49,0.45,0.399,0.421635
4600,4950,3075,0.28,0.42,0.242,0.282749
4650,4950,3075,0.11,0.1,0.149,0.17689
4700,4950,3075,0.1,0.1,0.089,0.111557
4750,4950,3075,0.06,0.08,0.053,0.070785
4800,4950,3075,0.05,0.06,0.032,0.04491
4400,5000,3075,0.47,0.52,0.576,0.553683
4450,5000,3075,0.43,0.43,0.561,0.539008
4500,5000,3075,0.47,0.55,0.515,0.509903
4550,5000,3075,0.59,0.67,0.546,0.499258
4600,5000,3075,0.37,0.29,0.315,0.353567
4650,5000,3075,0.16,0.22,0.180,0.223037
4700,5000,3075,0.11,0.1,0.107,0.141931
4750,5000,3075,0.08,0.07,0.064,0.090253
4800,5000,3075,0.05,0.05,0.038,0.057497
4400,5050,3075,0.37,0.41,0.599,0.57043
4450,5050,3075,0.42,0.43,0.615,0.567068
4500,5050,3075,0.56,0.65,0.585,0.542835
4550,5050,3075,0.68,0.69,0.752,0.589666
4600,5050,3075,0.71,0.68,0.436,0.445671
4650,5050,3075,0.38,0.55,0.228,0.282611
4700,5050,3075,0.13,0.16,0.132,0.181527
4750,5050,3075,0.08,0.06,0.079,0.116942
4800,5050,3075,0.04,0.05,0.047,0.075609
4400,5100,3075,0.3,0.29,0.600,0.562801
4450,5100,3075,0.44,0.44,0.655,0.581056
4500,5100,3075,0.79,0.84,0.649,0.581149
4550,5100,3075,1.12,1.02,0.948,0.702716
4600,5100,3075,0.98,0.9,0.602,0.56273
4650,5100,3075,0.52,0.55,0.307,0.366171
4700,5100,3075,0.22,0.22,0.165,0.238845
4750,5100,3075,0.02,0.06,0.096,0.15458
4800,5100,3075,0.03,0.04,0.062,0.100146
4400,5150,3075,0.27,0.29,0.567,0.509932
4450,5150,3075,0.3,0.57,0.660,0.576435
4500,5150,3075,0.77,0.77,0.690,0.619137
4550,5150,3075,0.71,0.81,1.086,0.824842
4600,5150,3075,0.7,0.75,0.808,0.740979
4650,5150,3075,0.47,0.47,0.424,0.484882
4700,5150,3075,0.26,0.29,0.223,0.317363
4750,5150,3075,0.12,0.14,0.125,0.206022
4800,5150,3075,0.03,0.08,0.082,0.129315
4400,5200,3075,0.35,0.37,0.522,0.454889
4450,5200,3075,0.56,0.84,0.645,0.544761
4500,5200,3075,0.88,0.91,0.721,0.660343
4550,5200,3075,1.17,1.13,1.198,0.978652
4600,5200,3075,0.9,0.76,1.087,0.974161
4650,5200,3075,0.39,0.39,0.581,0.643793
4700,5200,3075,0.4,0.34,0.320,0.422978
4750,5200,3075,0.24,0.21,0.182,0.270253
4800,5200,3075,0.07,0.12,0.109,0.14998
4400,5250,3075,0.48,0.61,0.475,0.40441
4450,5250,3075,1.03,1.05,0.606,0.499952
4500,5250,3075,1.35,1.32,0.742,0.703829
4550,5250,3075,1.34,1.37,1.280,1.142582
4600,5250,3075,1.01,0.86,1.495,1.27556
4650,5250,3075,0.43,0.43,0.804,0.848321
4700,5250,3075,0.4,0.35,0.472,0.555813
4750,5250,3075,0.59,0.53,0.271,0.320768
4400,5300,3075,0.57,0.72,0.427,0.357993
4450,5300,3075,1.11,1.06,0.552,0.448509
4500,5300,3075,1.47,1.48,0.723,0.702558
4550,5300,3075,1.42,1.56,1.395,1.253401
4600,5300,3075,2.32,2.49,2.090,1.619491
4650,5300,3075,0.92,1.13,1.145,1.106271
4700,5300,3075,2.04,1.43,0.692,0.675482
4750,5300,3075,1.02,0.69,0.376,0.356948
4400,5350,3075,0.54,0.43,0.382,0.318478
4450,5350,3075,0.99,1.03,0.500,0.405329
4500,5350,3075,1.16,1.16,0.688,0.685426
4550,5350,3075,1.19,1.18,1.495,1.276759
4600,5350,3075,2.06,2.32,2.549,1.866992
4650,5350,3075,1.41,1.37,1.635,1.345399
4700,5350,3075,0.76,0.84,0.933,0.732112
4400,5400,3075,0.7,0.58,0.342,0.287176
4450,5400,3075,0.93,0.91,0.463,0.370333
4500,5400,3075,0.93,0.95,0.652,0.667133
4550,5400,3075,1.47,1.57,1.257,1.241561
4600,5400,3075,2.21,2.26,2.918,2.050249
4650,5400,3075,1.3,1.26,1.967,1.302938
4700,5400,3075,0.62,0.52,0.980,0.707195
4400,5450,3075,0.61,0.64,0.314,0.258916
4450,5450,3075,0.92,0.9,0.432,0.349089
4500,5450,3075,1.16,1.16,0.609,0.644487
4550,5450,3075,2.61,2.7,1.023,1.182925
4600,5450,3075,3.61,3.5,2.781,1.669508
4650,5450,3075,2.82,2.44,1.936,1.144699
4400,5500,3075,0.57,0.63,0.291,0.231287
4450,5500,3075,0.59,0.65,0.402,0.332342
4500,5500,3075,0.84,0.81,0.567,0.597195
4550,5500,3075,1.62,1.32,0.880,0.945117
4600,5500,3075,3.5,3.1,1.791,1.244277
4650,5500,3075,3.43,3.23,1.511,0.962932
4350,5550,3075,0.35,0.5,0.198,0.168131
4400,5550,3075,0.58,0.53,0.271,0.205575
4450,5550,3075,0.68,0.66,0.372,0.298713
4500,5550,3075,0.76,0.7,0.523,0.494413
4550,5550,3075,0.54,0.6,0.728,0.696046
4600,5550,3075,1.76,1.38,0.958,0.913171
4350,5600,3075,0.11,0.31,0.183,0.143799
4400,5600,3075,0.48,0.51,0.248,0.173374
4450,5600,3075,0.79,0.67,0.336,0.254794
4500,5600,3075,0.71,0.64,0.465,0.364567
4550,5600,3075,0.74,0.84,0.583,0.512614
4350,5650,3075,0.2,0.44,0.165,0.118816
4400,5650,3075,0.45,0.53,0.221,0.144182
4450,5650,3075,0.69,0.56,0.299,0.191961
4500,5650,3075,0.72,0.55,0.410,0.268491
4350,5700,3075,0.31,0.48,0.146,0.096828
4400,5700,3075,0.51,0.55,0.198,0.109958
4700,4900,3050,0.08,0.09,0.106,0.128404
4750,4900,3050,0.05,0.07,0.065,0.080795
4800,4900,3050,0.06,0.09,0.039,0.051956
4450,4950,3050,0.54,0.53,0.580,0.605136
4500,4950,3050,0.53,0.47,0.549,0.577708
4550,4950,3050,0.41,0.41,0.555,0.533664
4600,4950,3050,0.23,0.34,0.331,0.389383
4650,4950,3050,0.13,0.15,0.206,0.248691
4700,4950,3050,0.09,0.09,0.129,0.158726
4750,4950,3050,0.05,0.07,0.079,0.101698
4800,4950,3050,0.06,0.09,0.047,0.065286
4450,5000,3050,0.53,0.51,0.623,0.630206
4500,5000,3050,0.62,0.66,0.622,0.601506
4550,5000,3050,0.7,0.73,0.787,0.618535
4600,5000,3050,0.39,0.39,0.468,0.47739
4650,5000,3050,0.34,0.43,0.268,0.306962
4700,5000,3050,0.26,0.25,0.159,0.198207
4750,5000,3050,0.08,0.1,0.095,0.128046
4800,5000,3050,0.05,0.07,0.058,0.083164
4450,5050,3050,0.69,0.73,0.663,0.642163
4500,5050,3050,0.66,0.71,0.674,0.628256
4550,5050,3050,0.77,0.74,1.072,0.724211
4600,5050,3050,0.66,0.64,0.661,0.586331
4650,5050,3050,0.41,0.42,0.371,0.382497
4700,5050,3050,0.39,0.44,0.200,0.25082
