X,Y,Z,IDS,KRIG,LOGKRIG,ANN
4350,5350,3100,0.2,0.23,0.28,0.2
4400,5350,3100,0.15,0.17,0.18,0.34
4450,5350,3100,0.21,0.29,0.17,0.66
4500,5350,3100,0.51,0.63,0.33,1.38
4550,5350,3100,1.11,1.09,0.88,2.29
4600,5350,3100,1.57,1.44,0.87,2.26
4650,5350,3100,0.75,0.98,0.37,1.59
4350,5400,3100,0.19,0.17,0.22,0.19
4400,5400,3100,0.16,0.17,0.18,0.33
4450,5400,3100,0.15,0.26,0.16,0.65
4500,5400,3100,0.33,0.41,0.15,1.4
4550,5400,3100,0.83,1.01,0.38,2.42
4600,5400,3100,1.36,1.36,0.45,2.45
4650,5400,3100,0.46,0.66,0.14,1.66
4350,5450,3100,0.26,0.22,0.23,0.18
4400,5450,3100,0.17,0.21,0.21,0.31
4450,5450,3100,0.17,0.18,0.17,0.62
4500,5450,3100,0.28,0.31,0.14,1.31
4550,5450,3100,0.79,1.31,0.44,2.3
4600,5450,3100,2.6,2.41,0.78,2.36
4650,5450,3100,0.81,0.8,0.18,1.54
4350,5500,3100,0.27,0.31,0.31,0.16
4400,5500,3100,0.29,0.29,0.33,0.28
4450,5500,3100,0.45,0.39,0.38,0.55
4500,5500,3100,0.33,0.23,0.23,1.13
4550,5500,3100,0.42,0.43,0.22,1.95
4600,5500,3100,1.18,1.25,0.46,2
4350,5550,3100,0.33,0.32,0.35,0.14
4400,5550,3100,0.39,0.33,0.39,0.24
4450,5550,3100,0.47,0.43,0.29,0.45
4500,5550,3100,0.34,0.26,0.18,0.89
4550,5550,3100,0.2,0.17,0.13,1.47
4600,5550,3100,0.71,1.32,0.52,1.5
4400,5600,3100,0.34,0.21,0.17,0.19
4450,5600,3100,0.33,0.28,0.17,0.35
4500,5600,3100,0.11,0.18,0.09,0.64
4750,4850,3075,0.08,0.09,0.1,0.12
4800,4850,3075,0.07,0.07,0.08,0.1
4400,4900,3075,0.56,0.54,0.77,0.46
4450,4900,3075,0.55,0.52,0.74,0.59
4500,4900,3075,0.59,0.5,0.57,0.62
4550,4900,3075,0.58,0.53,0.49,0.51
4600,4900,3075,0.22,0.38,0.3,0.37
4650,4900,3075,0.13,0.16,0.15,0.26
4700,4900,3075,0.11,0.11,0.12,0.19
4750,4900,3075,0.06,0.07,0.09,0.14
4800,4900,3075,0.06,0.08,0.08,0.11
4400,4950,3075,0.54,0.54,0.68,0.46
4450,4950,3075,0.49,0.5,0.68,0.61
4500,4950,3075,0.47,0.45,0.56,0.72
4550,4950,3075,0.49,0.45,0.5,0.63
4600,4950,3075,0.28,0.42,0.35,0.47
4650,4950,3075,0.11,0.1,0.13,0.34
4700,4950,3075,0.1,0.1,0.12,0.24
4750,4950,3075,0.06,0.08,0.09,0.18
4800,4950,3075,0.05,0.06,0.07,0.14
4400,5000,3075,0.47,0.52,0.61,0.45
4450,5000,3075,0.43,0.43,0.53,0.64
4500,5000,3075,0.47,0.55,0.65,0.82
4550,5000,3075,0.59,0.67,0.76,0.79
4600,5000,3075,0.37,0.29,0.31,0.61
4650,5000,3075,0.16,0.22,0.2,0.44
4700,5000,3075,0.11,0.1,0.13,0.32
4750,5000,3075,0.08,0.07,0.09,0.23
4800,5000,3075,0.05,0.05,0.07,0.18
4400,5050,3075,0.37,0.41,0.42,0.45
4450,5050,3075,0.42,0.43,0.54,0.67
4500,5050,3075,0.56,0.65,0.75,0.95
4550,5050,3075,0.68,0.69,0.79,1
4600,5050,3075,0.71,0.68,0.67,0.8
4650,5050,3075,0.38,0.55,0.42,0.59
4700,5050,3075,0.13,0.16,0.15,0.42
4750,5050,3075,0.08,0.06,0.07,0.31
4800,5050,3075,0.04,0.05,0.05,0.23
4400,5100,3075,0.3,0.29,0.34,0.45
4450,5100,3075,0.44,0.44,0.5,0.7
4500,5100,3075,0.79,0.84,0.94,1.09
4550,5100,3075,1.12,1.02,1.09,1.27
4600,5100,3075,0.98,0.9,1.04,1.07
4650,5100,3075,0.52,0.55,0.55,0.79
4700,5100,3075,0.22,0.22,0.17,0.57
4750,5100,3075,0.02,0.06,0.05,0.4
4800,5100,3075,0.03,0.04,0.04,0.29
4400,5150,3075,0.27,0.29,0.32,0.45
4450,5150,3075,0.3,0.57,0.51,0.74
4500,5150,3075,0.77,0.77,0.77,1.25
4550,5150,3075,0.71,0.81,1.02,1.6
4600,5150,3075,0.7,0.75,0.92,1.42
4650,5150,3075,0.47,0.47,0.56,1.07
4700,5150,3075,0.26,0.29,0.26,0.76
4750,5150,3075,0.12,0.14,0.07,0.53
4800,5150,3075,0.03,0.08,0.04,0.37
4400,5200,3075,0.35,0.37,0.37,0.45
4450,5200,3075,0.56,0.84,0.71,0.78
4500,5200,3075,0.88,0.91,0.89,1.41
4550,5200,3075,1.17,1.13,1.27,1.99
4600,5200,3075,0.9,0.76,0.83,1.87
4650,5200,3075,0.39,0.39,0.47,1.41
4700,5200,3075,0.4,0.34,0.36,0.99
4750,5200,3075,0.24,0.21,0.12,0.66
4800,5200,3075,0.07,0.12,0.06,0.44
4400,5250,3075,0.48,0.61,0.5,0.45
4450,5250,3075,1.03,1.05,0.98,0.82
4500,5250,3075,1.35,1.32,1.64,1.57
4550,5250,3075,1.34,1.37,1.58,2.42
4600,5250,3075,1.01,0.86,0.95,2.4
4650,5250,3075,0.43,0.43,0.51,1.81
4700,5250,3075,0.4,0.35,0.34,1.23
4750,5250,3075,0.59,0.53,0.2,0.79
4400,5300,3075,0.57,0.72,0.63,0.45
4450,5300,3075,1.11,1.06,1.45,0.85
4500,5300,3075,1.47,1.48,1.67,1.71
4550,5300,3075,1.42,1.56,1.75,2.84
