X,Y,Z,Cu,Dens
1372,1570,831,1.12,2.645544
1387,1570,831,1.23,2.645544
1402,1570,831,1.12,2.645544
1417,1570,831,0.95,2.645544
1433,1570,831,0.8,2.645544
1448,1570,831,0.73,2.645544
1463,1570,831,0.75,2.645544
1478,1570,831,0.75,2.645544
1311,1585,831,0.6,2.645544
1326,1585,831,0.65,2.645544
1341,1585,831,0.66,2.645544
1356,1585,831,0.78,2.645544
1372,1585,831,1.07,2.645544
1387,1585,831,1.22,2.645544
1402,1585,831,1.08,2.645544
1417,1585,831,0.94,2.645544
1433,1585,831,0.84,2.645544
1448,1585,831,0.88,2.645544
1463,1585,831,0.85,2.645544
1478,1585,831,0.85,2.645544
1311,1600,831,0.57,2.645544
1326,1600,831,0.63,2.645544
1341,1600,831,0.68,2.645544
1356,1600,831,0.76,2.645544
1372,1600,831,1.02,2.645544
1387,1600,831,1.18,2.645544
1402,1600,831,1.05,2.645544
1417,1600,831,0.93,2.645544
1433,1600,831,0.97,2.645544
1448,1600,831,0.97,2.645544
1463,1600,831,0.89,2.645544
1478,1600,831,0.89,2.645544
1311,1615,831,0.53,2.645544
1326,1615,831,0.6,2.645544
1341,1615,831,0.66,2.645544
1356,1615,831,0.74,2.645544
1372,1615,831,0.95,2.645544
1387,1615,831,1.14,2.645544
1402,1615,831,1.04,2.645544
1417,1615,831,1.05,2.645544
1433,1615,831,1.08,2.645544
1448,1615,831,1,2.645544
1463,1615,831,0.87,2.645544
1478,1615,831,0.87,2.645544
1311,1631,831,0.5,2.645544
1326,1631,831,0.56,2.645544
1341,1631,831,0.62,2.645544
1356,1631,831,0.69,2.645544
1372,1631,831,0.89,2.645544
1387,1631,831,1.13,2.645544
1402,1631,831,1.11,2.645544
1417,1631,831,1.15,2.645544
1433,1631,831,1.12,2.645544
1448,1631,831,0.98,2.645544
1463,1631,831,0.79,2.645544
1478,1631,831,0.79,2.645544
1311,1646,831,0.46,2.645544
1326,1646,831,0.52,2.645544
1341,1646,831,0.58,2.645544
1356,1646,831,0.64,2.645544
1372,1646,831,0.82,2.645544
1387,1646,831,1.12,2.645544
1402,1646,831,1.22,2.645544
1417,1646,831,1.21,2.645544
1433,1646,831,1.09,2.645544
1448,1646,831,0.91,2.645544
1463,1646,831,0.71,2.645544
1478,1646,831,0.71,2.645544
1311,1661,831,0.4,2.645544
1326,1661,831,0.48,2.645544
1341,1661,831,0.53,2.645544
1356,1661,831,0.62,2.645544
1372,1661,831,0.76,2.645544
1387,1661,831,1.18,2.645544
1402,1661,831,1.3,2.645544
1417,1661,831,1.19,2.645544
1433,1661,831,1.01,2.645544
1448,1661,831,0.81,2.645544
1463,1661,831,0.62,2.645544
1478,1661,831,0.62,2.645544
1311,1676,831,0.35,2.645544
1326,1676,831,0.42,2.645544
1341,1676,831,0.51,2.645544
1356,1676,831,0.6,2.645544
1372,1676,831,0.77,2.645544
1387,1676,831,1.17,2.645544
1402,1676,831,1.27,2.645544
1417,1676,831,1.1,2.645544
1433,1676,831,0.9,2.645544
1448,1676,831,0.71,2.645544
1463,1676,831,0.54,2.645544
1478,1676,831,0.54,2.645544
1311,1692,831,0.3,2.645544
1326,1692,831,0.39,2.645544
1341,1692,831,0.48,2.645544
1356,1692,831,0.59,2.645544
1372,1692,831,0.78,2.645544
1387,1692,831,1.04,2.645544
1402,1692,831,1.14,2.645544
1417,1692,831,0.98,2.645544
1433,1692,831,0.78,2.645544
1448,1692,831,0.61,2.645544
1463,1692,831,0.47,2.645544
1478,1692,831,0.47,2.645544
1311,1707,831,0.28,2.645544
1326,1707,831,0.36,2.645544
1341,1707,831,0.46,2.645544
1356,1707,831,0.61,2.645544
1372,1707,831,0.75,2.645544
1387,1707,831,0.88,2.645544
1402,1707,831,0.91,2.645544
1417,1707,831,0.79,2.645544
1433,1707,831,0.65,2.645544
1448,1707,831,0.52,2.645544
1463,1707,831,0.41,2.645544
1478,1707,831,0.41,2.645544
1311,1722,831,0.26,2.645544
1326,1722,831,0.34,2.645544
1341,1722,831,0.45,2.645544
1356,1722,831,0.6,2.645544
1372,1722,831,0.69,2.645544
1387,1722,831,0.74,2.645544
1402,1722,831,0.73,2.645544
1417,1722,831,0.64,2.645544
1433,1722,831,0.53,2.645544
1448,1722,831,0.43,2.645544
1463,1722,831,0.35,2.645544
1478,1722,831,0.35,2.645544
1311,1737,831,0.24,2.645544
1326,1737,831,0.32,2.645544
1341,1737,831,0.44,2.645544
1356,1737,831,0.55,2.645544
1372,1737,831,0.6,2.645544
1387,1737,831,0.61,2.645544
1402,1737,831,0.59,2.645544
1417,1737,831,0.51,2.645544
1433,1737,831,0.43,2.645544
1448,1737,831,0.36,2.645544
1463,1737,831,0.3,2.645544
1478,1737,831,0.3,2.645544
1311,1753,831,0.24,2.645544
1326,1753,831,0.32,2.645544
1341,1753,831,0.44,2.645544
1356,1753,831,0.55,2.645544
1372,1753,831,0.6,2.645544
