X,Y,Z,% Cu,,,,,,,,
4418.51,5405.24,2966.65,-1.319009614,,,,,,,,
4531.06,5040.14,3067.9,-1.000215967,,,,,,,,
4460.94,4912.25,2886.77,-0.481266822,,,,,,,,
4637.24,5642.76,2925.2,-0.493313199,,,,,,,,
4335,5336,2932.5,-1.610438413,,,,,,,,
4449.5,5522.47,2984.35,-1.580850456,,,,,,,,
4588.73,5643.27,2868,-1.546463113,,,,,,,,
4645.58,5343.23,2908.28,-0.203095856,,,,,,,,
4787.55,4982.2,3052.73,-2.972015747,,,,,,,,
4787.55,4982.2,3052.73,-2.972015747,,,,,,,,
4787.55,4982.2,3052.73,-2.972015747,,,,,,,,
4787.55,4982.2,3052.73,-2.972015747,,,,,,,,
4787.55,4982.2,3052.73,-2.972015747,,,,,,,,
4787.55,4982.2,3052.73,-2.972015747,,,,,,,,
4787.55,4982.2,3052.73,-2.972015747,,,,,,,,
4636.3,5582.4,2882.89,-0.975510092,,,,,,,,
4588.65,5432.5,3039.5,1.066639909,,,,,,,,
4588.65,5432.5,3039.5,1.066639909,,,,,,,,
4588.65,5432.5,3039.5,1.066639909,,,,,,,,
4588.65,5432.5,3039.5,1.066639909,,,,,,,,
4588.65,5432.5,3039.5,1.066639909,,,,,,,,
4588.65,5432.5,3039.5,1.066639909,,,,,,,,
4588.65,5432.5,3039.5,1.066639909,,,,,,,,
4588.65,5432.5,3039.5,1.066639909,,,,,,,,
4750.42,4923.24,2728.5,-2.207274913,,,,,,,,
4750.42,4923.24,2728.5,-2.207274913,,,,,,,,
4750.42,4923.24,2728.5,-2.207274913,,,,,,,,
4612.9,5522.58,2972.01,0.008364916,,,,,,,,
4618.46,5581.61,2949.45,-0.351545266,,,,,,,,
4429.52,5588.22,2980.12,-1.523260216,,,,,,,,
4645.1,5402.8,2921.1,-0.596383512,,,,,,,,
4580,5463,3114.5,0.869199124,,,,,,,,
4580,5463,3114.5,0.869199124,,,,,,,,
4580,5463,3114.5,0.869199124,,,,,,,,
4580,5463,3114.5,0.869199124,,,,,,,,
4580,5463,3114.5,0.869199124,,,,,,,,
4580,5463,3114.5,0.869199124,,,,,,,,
4580,5463,3114.5,0.869199124,,,,,,,,
4501.7,5269.64,2857.97,-1.580850456,,,,,,,,
4645.43,5280.92,2919.42,-0.424342164,,,,,,,,
