X,Y,Z,Dens,Cu
4450,5050,2700,0.068038855,0.87
4500,5050,2700,0.068038855,1.21
4550,5050,2700,0.068038855,1.23
4600,5050,2700,0.068038855,1.08
4650,5050,2700,0.068038855,0.9
4700,5050,2700,0.068038855,0.75
4750,5050,2700,0.068038855,0.61
4800,5050,2700,0.068038855,0.52
4850,5050,2700,0.068038855,0.52
4300,5100,2700,0.068038855,0.61
4350,5100,2700,0.068038855,0.59
4400,5100,2700,0.068038855,0.65
4450,5100,2700,0.068038855,0.83
4500,5100,2700,0.068038855,1.16
4550,5100,2700,0.068038855,1.23
4600,5100,2700,0.068038855,1.13
4650,5100,2700,0.068038855,0.95
4700,5100,2700,0.068038855,0.77
4750,5100,2700,0.068038855,0.64
4800,5100,2700,0.068038855,0.63
4850,5100,2700,0.068038855,0.63
4300,5150,2700,0.068038855,0.63
4350,5150,2700,0.068038855,0.62
4400,5150,2700,0.068038855,0.65
4450,5150,2700,0.068038855,0.8
4500,5150,2700,0.068038855,1.12
4550,5150,2700,0.068038855,1.23
4600,5150,2700,0.068038855,1.12
4650,5150,2700,0.068038855,0.95
4700,5150,2700,0.068038855,0.8
4750,5150,2700,0.068038855,0.73
4800,5150,2700,0.068038855,0.75
4850,5150,2700,0.068038855,0.75
4300,5200,2700,0.068038855,0.6
4350,5200,2700,0.068038855,0.65
4400,5200,2700,0.068038855,0.66
4450,5200,2700,0.068038855,0.78
4500,5200,2700,0.068038855,1.07
4550,5200,2700,0.068038855,1.22
4600,5200,2700,0.068038855,1.08
4650,5200,2700,0.068038855,0.94
4700,5200,2700,0.068038855,0.84
4750,5200,2700,0.068038855,0.88
4800,5200,2700,0.068038855,0.85
4850,5200,2700,0.068038855,0.85
4300,5250,2700,0.068038855,0.57
4350,5250,2700,0.068038855,0.63
4400,5250,2700,0.068038855,0.68
4450,5250,2700,0.068038855,0.76
4500,5250,2700,0.068038855,1.02
4550,5250,2700,0.068038855,1.18
4600,5250,2700,0.068038855,1.05
4650,5250,2700,0.068038855,0.93
4700,5250,2700,0.068038855,0.97
4750,5250,2700,0.068038855,0.97
4800,5250,2700,0.068038855,0.89
4850,5250,2700,0.068038855,0.89
4300,5300,2700,0.068038855,0.53
4350,5300,2700,0.068038855,0.6
4400,5300,2700,0.068038855,0.66
4450,5300,2700,0.068038855,0.74
4500,5300,2700,0.068038855,0.95
4550,5300,2700,0.068038855,1.14
4600,5300,2700,0.068038855,1.04
4650,5300,2700,0.068038855,1.05
4700,5300,2700,0.068038855,1.08
4750,5300,2700,0.068038855,1
4800,5300,2700,0.068038855,0.87
4850,5300,2700,0.068038855,0.87
4300,5350,2700,0.068038855,0.5
4350,5350,2700,0.068038855,0.56
4400,5350,2700,0.068038855,0.62
4450,5350,2700,0.068038855,0.69
4500,5350,2700,0.068038855,0.89
4550,5350,2700,0.068038855,1.13
4600,5350,2700,0.068038855,1.11
4650,5350,2700,0.068038855,1.15
4700,5350,2700,0.068038855,1.12
4750,5350,2700,0.068038855,0.98
4800,5350,2700,0.068038855,0.79
4850,5350,2700,0.068038855,0.79
4300,5400,2700,0.068038855,0.46
4350,5400,2700,0.068038855,0.52
4400,5400,2700,0.068038855,0.58
4450,5400,2700,0.068038855,0.64
4500,5400,2700,0.068038855,0.82
4550,5400,2700,0.068038855,1.12
4600,5400,2700,0.068038855,1.22
4650,5400,2700,0.068038855,1.21
4700,5400,2700,0.068038855,1.09
4750,5400,2700,0.068038855,0.91
4800,5400,2700,0.068038855,0.71
4850,5400,2700,0.068038855,0.71
4300,5450,2700,0.068038855,0.4
4350,5450,2700,0.068038855,0.48
